Location_ID,Season,Area_Type,Geogenic_Evidence,Anthropogenic_Evidence,Mixed_Evidence,N_Geogenic,N_Anthropogenic,N_Mixed,Dominant_Source,Confidence
PD-5,Postmonsoon,PD,"Ca/Mg>2 (silicate weathering); Fe=0.33 (>0.3, laterite/weathering); Gibbs: Rock-water interaction; HCO₃ dominant anion (weathering)",Na/Cl<0.8 (reverse ion exchange / anthropogenic Cl); NO₃=13.6 (>NBL 10 mg/L); PIG=3.724 (moderate-high pollution),CAI>0 (reverse ion exchange); (Ca+Mg)/(HCO₃+SO₄)>1 (reverse ion exch.),4,3,2,Mixed,Moderate
IA-1,Postmonsoon,IA,"Ca/Mg 1-2 (calcite/dolomite); Fe=0.32 (>0.3, laterite/weathering); Gibbs: Rock-water interaction",Na/Cl<0.8 (reverse ion exchange / anthropogenic Cl); NO₃=18.0 (>NBL 10 mg/L); Cl=146.4 (>NBL 50 mg/L); PIG=3.708 (moderate-high pollution),CAI>0 (reverse ion exchange); (Ca+Mg)/(HCO₃+SO₄)>1 (reverse ion exch.),3,4,2,Mixed,Moderate
IA-2,Postmonsoon,IA,Ca/Mg>2 (silicate weathering); Gibbs: Rock-water interaction,Na/Cl<0.8 (reverse ion exchange / anthropogenic Cl); NO₃=25.6 (>NBL 10 mg/L); Cl=120.8 (>NBL 50 mg/L); PIG=1.661 (moderate-high pollution),CAI>0 (reverse ion exchange); (Ca+Mg)/(HCO₃+SO₄)>1 (reverse ion exch.),2,4,2,Mixed,Moderate
IA-3,Postmonsoon,IA,"Ca/Mg>2 (silicate weathering); Fe=0.46 (>0.3, laterite/weathering); Gibbs: Rock-water interaction",Na/Cl<0.8 (reverse ion exchange / anthropogenic Cl); NO₃=62.7 (>NBL 10 mg/L); Cl=150.5 (>NBL 50 mg/L); PIG=5.370 (moderate-high pollution),CAI>0 (reverse ion exchange); (Ca+Mg)/(HCO₃+SO₄)>1 (reverse ion exch.),3,4,2,Mixed,Moderate
IA-4,Postmonsoon,IA,"Ca/Mg>2 (silicate weathering); NO₃=8.7 (within NBL); Fe=0.54 (>0.3, laterite/weathering); Gibbs: Rock-water interaction",Na/Cl<0.8 (reverse ion exchange / anthropogenic Cl); Cl=95.0 (>NBL 50 mg/L); PIG=6.077 (moderate-high pollution),CAI>0 (reverse ion exchange); (Ca+Mg)/(HCO₃+SO₄)>1 (reverse ion exch.),4,3,2,Mixed,Moderate
IA-5,Postmonsoon,IA,Ca/Mg 1-2 (calcite/dolomite); Gibbs: Rock-water interaction,Na/Cl<0.8 (reverse ion exchange / anthropogenic Cl); NO₃=27.6 (>NBL 10 mg/L); Cl=93.7 (>NBL 50 mg/L),CAI>0 (reverse ion exchange); (Ca+Mg)/(HCO₃+SO₄)>1 (reverse ion exch.),2,3,2,Mixed,Moderate
DY-1,Postmonsoon,DY,Ca/Mg>2 (silicate weathering); Gibbs: Rock-water interaction,Na/Cl<0.8 (reverse ion exchange / anthropogenic Cl); NO₃=57.1 (>NBL 10 mg/L); Cl=70.9 (>NBL 50 mg/L); PIG=2.309 (moderate-high pollution),CAI>0 (reverse ion exchange); (Ca+Mg)/(HCO₃+SO₄)>1 (reverse ion exch.),2,4,2,Mixed,Moderate
DY-2,Postmonsoon,DY,"Ca/Mg 1-2 (calcite/dolomite); Fe=0.48 (>0.3, laterite/weathering); Gibbs: Rock-water interaction",Na/Cl<0.8 (reverse ion exchange / anthropogenic Cl); NO₃=18.6 (>NBL 10 mg/L); Cl=51.0 (>NBL 50 mg/L); PIG=5.446 (moderate-high pollution),CAI>0 (reverse ion exchange); (Ca+Mg)/(HCO₃+SO₄)>1 (reverse ion exch.),3,4,2,Mixed,Moderate
DY-3,Postmonsoon,DY,Ca/Mg 1-2 (calcite/dolomite); Gibbs: Rock-water interaction,Na/Cl<0.8 (reverse ion exchange / anthropogenic Cl); NO₃=15.2 (>NBL 10 mg/L); Cl=91.6 (>NBL 50 mg/L),CAI>0 (reverse ion exchange); (Ca+Mg)/(HCO₃+SO₄)>1 (reverse ion exch.),2,3,2,Mixed,Moderate
DY-4,Postmonsoon,DY,"Ca/Mg>2 (silicate weathering); Fe=0.32 (>0.3, laterite/weathering); Gibbs: Rock-water interaction",Na/Cl<0.8 (reverse ion exchange / anthropogenic Cl); NO₃=61.5 (>NBL 10 mg/L); Cl=79.3 (>NBL 50 mg/L); PIG=3.679 (moderate-high pollution),CAI>0 (reverse ion exchange); (Ca+Mg)/(HCO₃+SO₄)>1 (reverse ion exch.),3,4,2,Mixed,Moderate
DY-5,Postmonsoon,DY,Ca/Mg 1-2 (calcite/dolomite); Gibbs: Rock-water interaction,Na/Cl<0.8 (reverse ion exchange / anthropogenic Cl); NO₃=36.1 (>NBL 10 mg/L); Cl=70.4 (>NBL 50 mg/L); PIG=1.631 (moderate-high pollution),CAI>0 (reverse ion exchange); (Ca+Mg)/(HCO₃+SO₄)>1 (reverse ion exch.),2,4,2,Mixed,Moderate
